declarationType,incidentType,disasterName,disasterNumber,incidentBeginDate,incidentEndDate,stateCode,stateName
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4230,2015-05-04,2015-06-21,KS,Kansas                        
Major Disaster,Tornado,SEVERE STORMS AND TORNADOES,4205,2014-12-23,2014-12-23,MS,Mississippi                   
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4181,2014-06-03,2014-06-04,IA,Iowa                          
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS AND FLOODING",4223,2015-05-04,2015-06-22,TX,Texas                         
Major Disaster,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4198,2014-08-21,2014-08-25,MT,Montana                       
Major Disaster,Severe Storm(s),"SEVERE STORMS,TORNADOES, AND FLOODING",4174,2014-04-27,2014-04-27,AR,Arkansas                      
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,4197,2014-07-27,2014-08-05,NM,New Mexico                    
Major Disaster,Severe Storm(s),SEVERE WINTER STORM AND SNOWSTORM,4173,2014-01-05,2014-01-09,IN,Indiana                       
Major Disaster,Severe Storm(s),TROPICAL STORM ISELLE,4194,2014-08-07,2014-08-09,HI,Hawaii                        
Major Disaster,Severe Storm(s),SNOWSTORM,4170,2014-02-12,2014-02-13,MD,Maryland                      
Major Disaster,Snow,"SEVERE WINTER STORMS, SNOWSTORMS, FLOODING, LANDSLIDES, AND MUDSLIDES ",4216,2015-02-15,2015-02-22,KY,Kentucky                      
Major Disaster,Severe Storm(s),"SEVERE STORMS, FLOODING, AND LANDSLIDES",4192,2014-07-29,2014-08-03,AS,American Samoa                
Major Disaster,Typhoon,TYPHOON SOUDELOR,4235,2015-08-01,2015-08-03,MP,Northern Mariana Islands      
Major Disaster,Severe Storm(s),"SEVERE WINTER STORM, FLOODING, LANDSLIDES, AND MUDSLIDES",4210,2015-03-03,2015-03-14,WV,West Virginia                 
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4185,2014-06-01,2014-06-04,NE,Nebraska                      
Major Disaster,Flood,SEVERE STORMS AND FLOODING,4228,2015-05-18,2015-06-20,LA,Louisiana                     
Major Disaster,Flood,SEVERE STORMS AND FLOODING,4203,2014-09-07,2014-09-09,AZ,Arizona                       
Major Disaster,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4179,2014-05-11,2014-05-12,NE,Nebraska                      
Major Disaster,Severe Storm(s),SEVERE WINTER STORM AND SNOWSTORM,4212,2015-01-26,2015-01-28,RI,Rhode Island                  
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4187,2014-06-26,2014-07-07,IA,Iowa                          
Major Disaster,Severe Storm(s),SEVERE WINTER STORM AND SNOWSTORM,4209,2015-01-26,2015-01-28,NH,New Hampshire                 
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4183,2014-06-14,2014-06-21,NE,Nebraska                      
Major Disaster,Severe Storm(s),SEVERE STORM,4231,2015-06-23,2015-06-23,NJ,New Jersey                    
Major Disaster,Flood,"SEVERE STORMS, FLOODING, AND MUDSLIDES",4206,2014-12-04,2014-12-06,CA,California                    
Major Disaster,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4182,2014-06-11,2014-07-11,MN,Minnesota                     
